dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,zorder_ms,zorder_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
california_real,A_nearby,52,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc >= 8.0 AND HouseAge <= 20 AND MedHouseVal >= 3.5,8.4874,373.0,199.4683,373,17.0699,373,175.644,373.0,20.69,2.83,PASS
california_real,A_nearby,53,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND AveOccup <= 3.0 AND Population BETWEEN 200 AND 2000 AND MedInc >= 5.0,6.6168,4925.0,168.5355,4925,137.4106,4925,166.2468,4925.0,25.12,3.06,PASS
california_real,A_nearby,54,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 8.0 AND MedHouseVal >= 4.0 AND HouseAge <= 20 AND AveRooms >= 5.0,3.7643,128.0,177.5266,128,9.891,128,198.625,128.0,52.77,1.79,PASS
california_real,A_nearby,55,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 9.0 AND MedHouseVal >= 4.5 AND HouseAge <= 30 AND AveOccup <= 2.5,3.6629,19.0,180.5028,19,6.286,19,183.5434,19.0,50.11,1.27,PASS
california_real,A_nearby,56,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc BETWEEN 6.0 AND 11.0 AND MedHouseVal BETWEEN 3.0 AND 5.0 AND HouseAge <= 25 AND AveRooms >= 5.0,8.3183,462.0,193.2174,462,10.1553,462,186.0873,462.0,22.37,2.83,PASS
california_real,A_nearby,57,SELECT AVG(MedHouseVal) FROM data WHERE place = 'Sunnyvale',32.3081,3.2366,176.8076,3.2366,155.1567,3.2366,181.5337,3.2366,5.62,10.7,PASS
california_real,A_nearby,58,SELECT AVG(MedHouseVal) FROM data WHERE place = 'Mountain View',36.0787,3.5246,194.8376,3.5246,140.5654,3.5246,172.8154,3.5246,4.79,10.7,PASS
california_real,A_nearby,59,SELECT AVG(MedHouseVal) FROM data WHERE place = 'Palo Alto',16.3303,3.8243,181.578,3.8243,140.4285,3.8243,179.6177,3.8243,11.0,7.04,PASS
california_real,A_nearby,60,SELECT AVG(MedHouseVal) FROM data WHERE place = 'Cupertino',33.4806,3.6182,165.1145,3.6182,159.6103,3.6182,160.2733,3.6182,4.79,10.7,PASS
california_real,A_nearby,61,SELECT AVG(MedHouseVal) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 7.0,7.2961,4.3955,192.1037,4.3955,156.0579,4.3955,174.0405,4.3955,23.85,3.38,PASS
california_real,A_nearby,62,SELECT AVG(MedHouseVal) FROM data WHERE place = 'Palo Alto' AND MedInc >= 9.0,8.6314,5.0001,182.6277,5.0001,121.2064,5.0001,160.1663,5.0001,18.56,3.38,PASS
california_real,A_nearby,63,SELECT AVG(MedHouseVal) FROM data WHERE place = 'Sunnyvale' AND HouseAge <= 20,10.6406,2.9401,177.2765,2.9401,136.463,2.9401,167.3607,2.9401,15.73,4.89,PASS
california_real,A_nearby,64,SELECT AVG(MedHouseVal) FROM data WHERE place = 'Mountain View' AND MedInc BETWEEN 6.0 AND 10.0,8.0816,4.4804,176.2724,4.4804,144.8349,4.4804,200.1373,4.4804,24.76,3.38,PASS
california_real,A_nearby,65,SELECT AVG(MedInc) FROM data WHERE place = 'Sunnyvale',34.2754,5.2874,181.7519,5.2874,129.6223,5.2874,175.6581,5.2874,5.12,10.7,PASS
